state,accountlength,areacode,internationalplan,voicemailplan,numbervmailmessages,totaldayminutes,totaldaycalls,totaldaycharge,totaleveminutes,totalevecalls,totalevecharge,totalnightminutes,totalnightcalls,totalnightcharge,totalintlminutes,totalintlcalls,totalintlcharge,numbercustomerservicecalls,class,
NY,143.0,415.0, no, no,0.0,168.6,85.0,28.66,176.3,89.0,14.99,282.3,69.0,12.7,13.3,10.0,3.59,1.0, False.,
VA,150.0,415.0, no, yes,29.0,235.8,91.0,40.09,202.8,84.0,17.24,246.3,81.0,11.08,11.9,4.0,3.21,1.0, False.,
AR,156.0,510.0, no, no,0.0,189.4,114.0,32.2,145.7,96.0,12.38,192.8,121.0,8.68,4.5,13.0,1.22,0.0, False.,
TX,98.0,408.0, no, no,0.0,158.5,90.0,26.95,254.4,67.0,21.62,178.4,104.0,8.03,14.8,5.0,4.0,2.0, False.,
DC,17.0,510.0, no, yes,30.0,280.0,101.0,47.6,258.9,85.0,22.01,230.0,130.0,10.35,10.3,2.0,2.78,3.0, False.,
NY,101.0,415.0, no, no,0.0,229.8,97.0,39.07,217.8,133.0,18.51,243.5,53.0,10.96,8.9,2.0,2.4,1.0, False.,
OH,163.0,415.0, no, no,0.0,241.6,102.0,41.07,138.9,100.0,11.81,148.8,129.0,6.7,9.8,6.0,2.65,1.0, False.,
LA,140.0,415.0, no, yes,27.0,176.0,141.0,29.92,201.3,143.0,17.11,167.9,93.0,7.56,7.1,5.0,1.92,3.0, False.,
OH,176.0,415.0, no, yes,31.0,167.0,93.0,28.39,174.1,128.0,14.8,155.0,124.0,6.98,10.4,4.0,2.81,3.0, False.,
UT,102.0,510.0, no, yes,45.0,129.2,142.0,21.96,239.4,114.0,20.35,223.4,66.0,10.05,8.7,4.0,2.35,0.0, False.,
VA,71.0,415.0, no, yes,49.0,174.0,122.0,29.58,168.6,85.0,14.33,132.1,120.0,5.94,7.8,4.0,2.11,1.0, False.,
TX,104.0,415.0, no, no,0.0,261.2,81.0,44.4,209.1,130.0,17.77,281.1,121.0,12.65,11.3,1.0,3.05,2.0, False.,
TN,96.0,415.0, no, no,0.0,264.6,117.0,44.98,264.1,121.0,22.45,77.1,89.0,3.47,8.1,4.0,2.19,0.0, False.,
PA,90.0,408.0, no, no,0.0,160.9,97.0,27.35,136.4,46.0,11.59,209.0,121.0,9.4,9.1,4.0,2.46,2.0, False.,
CT,106.0,510.0, no, yes,36.0,124.8,93.0,21.22,241.7,83.0,20.54,219.0,110.0,9.86,11.3,3.0,3.05,1.0, False.,
DE,148.0,510.0, no, no,0.0,230.6,92.0,39.2,185.6,97.0,15.78,183.2,79.0,8.24,6.2,4.0,1.67,2.0, False.,
IN,66.0,408.0, no, no,0.0,241.7,112.0,41.09,251.6,78.0,21.39,105.0,82.0,4.72,11.3,2.0,3.05,2.0, False.,
UT,95.0,408.0, no, yes,35.0,229.1,143.0,38.95,148.2,104.0,12.6,248.4,110.0,11.18,3.9,3.0,1.05,0.0, False.,
OK,127.0,408.0, no, no,0.0,212.9,92.0,36.19,260.1,124.0,22.11,177.6,85.0,7.99,8.6,2.0,2.32,2.0, False.,
NH,79.0,408.0, no, yes,30.0,124.8,99.0,21.22,207.6,142.0,17.65,175.0,95.0,7.88,4.6,3.0,1.24,1.0, False.,
MO,83.0,510.0, no, no,0.0,133.9,82.0,22.76,169.6,105.0,14.42,222.8,114.0,10.03,11.7,4.0,3.16,0.0, False.,
NV,83.0,510.0, no, yes,31.0,129.8,87.0,22.07,183.4,110.0,15.59,169.4,40.0,7.62,14.3,6.0,3.86,1.0, False.,
SC,136.0,415.0, no, no,0.0,88.5,112.0,15.05,279.5,98.0,23.76,278.0,69.0,12.51,7.5,12.0,2.03,1.0, False.,
HI,17.0,408.0, no, no,0.0,168.5,102.0,28.65,297.2,130.0,25.26,244.7,117.0,11.01,8.8,6.0,2.38,3.0, False.,
DC,165.0,415.0, yes, no,0.0,81.4,110.0,13.84,263.7,150.0,22.41,219.7,107.0,9.89,12.2,3.0,3.29,1.0, False.,
OK,149.0,510.0, no, no,0.0,117.2,99.0,19.92,227.7,74.0,19.35,221.7,141.0,9.98,9.0,7.0,2.43,1.0, False.,
ME,79.0,510.0, yes, no,0.0,300.4,113.0,51.07,210.8,93.0,17.92,173.4,121.0,7.8,11.9,3.0,3.21,2.0, False.,
AZ,94.0,415.0, no, no,0.0,195.1,105.0,33.17,272.4,100.0,23.15,142.7,102.0,6.42,11.5,16.0,3.11,1.0, False.,
MN,93.0,415.0, no, no,0.0,172.0,80.0,29.24,219.1,76.0,18.62,169.8,108.0,7.64,10.3,3.0,2.78,0.0, False.,
WY,109.0,415.0, yes, yes,46.0,165.2,85.0,28.08,136.0,92.0,11.56,184.8,100.0,8.32,11.9,5.0,3.21,1.0, False.,
WA,106.0,415.0, no, no,0.0,149.7,114.0,25.45,104.5,72.0,8.88,227.9,87.0,10.26,9.0,2.0,2.43,2.0, False.,
AL,92.0,408.0, no, no,0.0,185.8,61.0,31.59,118.1,131.0,10.04,257.5,70.0,11.59,11.8,4.0,3.19,1.0, False.,
WA,93.0,415.0, no, no,0.0,214.4,112.0,36.45,261.5,97.0,22.23,280.8,112.0,12.64,14.8,3.0,4.0,0.0, False.,
NM,124.0,408.0, no, no,0.0,244.6,91.0,41.58,125.1,70.0,10.63,303.4,104.0,13.65,12.0,5.0,3.24,0.0, False.,
MA,117.0,408.0, no, no,0.0,302.6,83.0,51.44,167.1,106.0,14.2,209.8,79.0,9.44,10.4,7.0,2.81,1.0, False.,
ME,163.0,415.0, no, yes,30.0,195.2,123.0,33.18,126.4,115.0,10.74,221.0,90.0,9.95,9.0,5.0,2.43,5.0, False.,
SD,87.0,510.0, yes, no,0.0,207.8,113.0,35.33,182.2,129.0,15.49,163.4,98.0,7.35,13.0,3.0,3.51,1.0, False.,
LA,59.0,415.0, no, no,0.0,119.0,119.0,20.23,134.5,115.0,11.43,298.6,75.0,13.44,9.0,6.0,2.43,2.0, False.,
HI,103.0,415.0, no, no,0.0,245.8,116.0,41.79,135.4,97.0,11.51,190.9,73.0,8.59,9.9,7.0,2.67,1.0, False.,
FL,101.0,408.0, no, no,0.0,131.0,148.0,22.27,237.7,126.0,20.2,281.3,111.0,12.66,12.6,4.0,3.4,3.0, False.,
WI,72.0,415.0, no, no,0.0,129.8,106.0,22.07,188.7,138.0,16.04,212.5,116.0,9.56,8.3,4.0,2.24,4.0, False.,
SD,108.0,510.0, yes, no,0.0,275.9,84.0,46.9,203.0,91.0,17.26,211.4,108.0,9.51,6.7,4.0,1.81,2.0, False.,
NH,80.0,510.0, no, no,0.0,213.3,124.0,36.26,189.6,86.0,16.12,193.7,107.0,8.72,12.1,2.0,3.27,1.0, False.,
NJ,117.0,415.0, no, no,0.0,128.6,92.0,21.86,191.7,61.0,16.29,121.7,117.0,5.48,12.4,9.0,3.35,2.0, False.,
ND,51.0,510.0, no, no,0.0,95.3,103.0,16.2,189.3,116.0,16.09,238.7,110.0,10.74,13.6,4.0,3.67,1.0, False.,
MN,126.0,415.0, no, no,0.0,152.4,94.0,25.91,166.2,91.0,14.13,199.2,84.0,8.96,10.2,1.0,2.75,1.0, False.,
VT,149.0,415.0, no, no,0.0,194.9,108.0,33.13,187.1,102.0,15.9,174.9,168.0,7.87,8.2,4.0,2.21,4.0, False.,
MA,158.0,415.0, no, no,0.0,214.7,112.0,36.5,262.9,115.0,22.35,228.9,68.0,10.3,11.6,2.0,3.13,1.0, False.,
WV,66.0,415.0, no, no,0.0,180.4,99.0,30.67,135.1,114.0,11.48,206.0,98.0,9.27,9.5,6.0,2.57,1.0, False.,
MI,82.0,415.0, no, no,0.0,164.1,84.0,27.9,317.7,109.0,27.0,241.5,87.0,10.87,13.3,4.0,3.59,1.0, False.,
RI,127.0,510.0, no, no,0.0,211.1,62.0,35.89,235.2,143.0,19.99,227.5,66.0,10.24,15.6,3.0,4.21,2.0, False.,
NY,108.0,415.0, no, yes,19.0,312.4,98.0,53.11,271.4,122.0,23.07,162.6,91.0,7.32,10.1,6.0,2.73,0.0, False.,
SD,106.0,408.0, no, yes,27.0,223.3,97.0,37.96,212.5,131.0,18.06,154.6,149.0,6.96,11.6,2.0,3.13,1.0, False.,
WA,62.0,415.0, no, no,0.0,166.9,76.0,28.37,223.6,113.0,19.01,188.9,87.0,8.5,14.2,5.0,3.83,1.0, False.,
KS,48.0,408.0, no, yes,26.0,192.9,60.0,32.79,179.2,87.0,15.23,185.5,137.0,8.35,18.7,7.0,5.05,0.0, False.,
NV,58.0,415.0, no, yes,28.0,236.8,89.0,40.26,158.4,91.0,13.46,212.3,97.0,9.55,8.0,3.0,2.16,2.0, False.,
DC,138.0,415.0, no, no,0.0,149.7,99.0,25.45,160.0,97.0,13.6,256.5,161.0,11.54,9.5,5.0,2.57,1.0, False.,
AR,81.0,415.0, no, yes,17.0,268.1,94.0,45.58,156.1,124.0,13.27,160.4,90.0,7.22,13.6,5.0,3.67,2.0, False.,
CO,36.0,415.0, yes, no,0.0,245.0,119.0,41.65,195.5,91.0,16.62,165.7,87.0,7.46,7.8,7.0,2.11,1.0, False.,
CA,90.0,510.0, no, yes,22.0,187.9,121.0,31.94,209.9,101.0,17.84,256.7,102.0,11.55,10.4,5.0,2.81,2.0, False.,
OK,177.0,415.0, no, yes,21.0,234.0,108.0,39.78,238.0,61.0,20.23,201.9,125.0,9.09,8.8,4.0,2.38,0.0, False.,
DC,108.0,510.0, yes, yes,36.0,153.8,105.0,26.15,246.2,62.0,20.93,150.9,125.0,6.79,11.1,4.0,3.0,1.0, False.,
VA,25.0,415.0, yes, no,0.0,211.7,51.0,35.99,225.2,74.0,19.14,197.4,95.0,8.88,12.0,3.0,3.24,0.0, False.,
FL,133.0,408.0, no, yes,49.0,229.4,78.0,39.0,219.5,106.0,18.66,172.3,115.0,7.75,12.0,4.0,3.24,3.0, False.,
GA,90.0,415.0, no, no,0.0,68.8,124.0,11.7,168.1,106.0,14.29,281.7,96.0,12.68,9.8,5.0,2.65,1.0, False.,
CT,94.0,415.0, no, no,0.0,200.2,113.0,34.03,128.9,116.0,10.96,278.9,109.0,12.55,10.4,5.0,2.81,0.0, False.,
IL,68.0,415.0, no, no,0.0,134.6,73.0,22.88,206.8,117.0,17.58,138.4,104.0,6.23,9.4,2.0,2.54,2.0, False.,
WA,171.0,415.0, no, no,0.0,232.4,101.0,39.51,182.0,80.0,15.47,271.8,133.0,12.23,9.5,3.0,2.57,0.0, False.,
MN,122.0,415.0, no, no,0.0,126.0,89.0,21.42,147.0,95.0,12.5,280.2,97.0,12.61,5.6,4.0,1.51,0.0, False.,
NV,94.0,510.0, no, no,0.0,175.9,121.0,29.9,222.1,94.0,18.88,191.8,123.0,8.63,10.9,5.0,2.94,1.0, False.,
UT,25.0,415.0, yes, no,0.0,161.7,99.0,27.49,216.1,89.0,18.37,176.7,115.0,7.95,12.4,6.0,3.35,1.0, False.,
MS,120.0,415.0, no, no,0.0,112.6,80.0,19.14,124.4,86.0,10.57,234.9,88.0,10.57,8.1,3.0,2.19,6.0, False.,
OH,107.0,415.0, no, yes,26.0,234.0,116.0,39.78,223.9,103.0,19.03,246.5,105.0,11.09,13.8,1.0,3.73,1.0, False.,
WV,78.0,408.0, no, no,0.0,226.3,88.0,38.47,306.2,81.0,26.03,200.9,120.0,9.04,7.8,11.0,2.11,1.0, False.,
UT,93.0,415.0, no, no,0.0,174.1,127.0,29.6,176.8,73.0,15.03,240.0,111.0,10.8,10.7,3.0,2.89,0.0, False.,
CT,80.0,415.0, no, no,0.0,195.6,111.0,33.25,221.5,122.0,18.83,182.0,89.0,8.19,10.8,1.0,2.92,1.0, False.,
NH,127.0,415.0, no, no,0.0,200.8,104.0,34.14,181.4,73.0,15.42,89.7,49.0,4.04,9.7,5.0,2.62,0.0, False.,
DE,82.0,415.0, yes, yes,41.0,116.9,74.0,19.87,228.2,115.0,19.4,251.4,89.0,11.31,9.9,8.0,2.67,1.0, False.,
DE,44.0,415.0, no, no,0.0,225.6,118.0,38.35,135.4,122.0,11.51,190.1,96.0,8.55,12.1,5.0,3.27,1.0, False.,
CO,69.0,408.0, no, yes,38.0,272.9,122.0,46.39,188.4,97.0,16.01,132.4,87.0,5.96,10.5,3.0,2.84,2.0, False.,
FL,89.0,510.0, no, no,0.0,215.9,106.0,36.7,211.1,89.0,17.94,252.9,106.0,11.38,8.8,4.0,2.38,0.0, False.,
ID,69.0,510.0, yes, no,0.0,199.7,121.0,33.95,189.4,92.0,16.1,264.0,120.0,11.88,11.1,4.0,3.0,6.0, False.,
DE,64.0,415.0, no, yes,31.0,281.9,121.0,47.92,240.6,104.0,20.45,212.2,120.0,9.55,7.0,5.0,1.89,3.0, False.,
PA,167.0,415.0, yes, no,0.0,181.2,122.0,30.8,262.5,77.0,22.31,214.0,88.0,9.63,8.4,4.0,2.27,0.0, False.,
NJ,139.0,415.0, no, no,0.0,63.3,116.0,10.76,177.3,113.0,15.07,171.6,82.0,7.72,14.2,4.0,3.83,1.0, False.,
DC,41.0,510.0, no, no,0.0,208.0,83.0,35.36,199.4,110.0,16.95,173.5,91.0,7.81,14.9,3.0,4.02,1.0, False.,
MO,104.0,510.0, no, no,0.0,189.3,73.0,32.18,156.2,120.0,13.28,232.2,76.0,10.45,7.5,8.0,2.03,3.0, False.,
WA,166.0,510.0, no, no,0.0,156.8,100.0,26.66,171.5,93.0,14.58,149.1,97.0,6.71,11.2,10.0,3.02,1.0, False.,
AK,68.0,415.0, no, no,0.0,172.3,135.0,29.29,190.2,93.0,16.17,297.6,84.0,13.39,10.4,2.0,2.81,1.0, False.,
OK,78.0,510.0, no, no,0.0,140.0,84.0,23.8,216.8,73.0,18.43,224.5,102.0,10.1,9.0,6.0,2.43,2.0, False.,
RI,60.0,415.0, no, no,0.0,221.0,94.0,37.57,308.2,72.0,26.2,233.2,94.0,10.49,10.1,5.0,2.73,1.0, False.,
OH,184.0,415.0, no, no,0.0,167.2,133.0,28.42,162.1,123.0,13.78,156.9,81.0,7.06,9.5,4.0,2.57,1.0, False.,
MS,171.0,510.0, yes, no,0.0,191.6,83.0,32.57,181.1,103.0,15.39,195.3,73.0,8.79,8.6,3.0,2.32,3.0, False.,
AZ,68.0,408.0, no, no,0.0,172.5,115.0,29.33,221.9,126.0,18.86,170.9,98.0,7.69,6.8,8.0,1.84,4.0, False.,
VA,88.0,415.0, no, no,0.0,294.3,83.0,50.03,172.1,104.0,14.63,177.3,105.0,7.98,5.8,7.0,1.57,2.0, False.,
AL,130.0,408.0, no, no,0.0,289.1,79.0,49.15,150.1,106.0,12.76,163.4,98.0,7.35,13.5,4.0,3.65,1.0, False.,
IL,156.0,415.0, no, no,0.0,162.6,113.0,27.64,260.2,90.0,22.12,214.7,93.0,9.66,10.9,2.0,2.94,0.0, False.,
MS,92.0,510.0, no, yes,27.0,233.6,126.0,39.71,152.9,94.0,13.0,262.1,95.0,11.79,12.8,4.0,3.46,1.0, False.,
MN,151.0,415.0, no, yes,31.0,240.7,102.0,40.92,106.5,96.0,9.05,195.7,128.0,8.81,10.6,2.0,2.86,2.0, False.,
OK,78.0,415.0, no, no,0.0,290.5,119.0,49.39,158.4,75.0,13.46,255.6,101.0,11.5,8.6,6.0,2.32,2.0, False.,
TN,102.0,415.0, no, no,0.0,183.2,112.0,31.14,187.5,113.0,15.94,232.3,77.0,10.45,9.2,5.0,2.48,1.0, False.,
WV,131.0,408.0, no, no,0.0,155.6,78.0,26.45,165.2,134.0,14.04,184.1,89.0,8.28,8.7,2.0,2.35,2.0, False.,
TN,127.0,415.0, yes, no,0.0,220.7,100.0,37.52,170.2,89.0,14.47,278.4,73.0,12.53,15.0,4.0,4.05,3.0, False.,
FL,100.0,415.0, no, no,0.0,303.0,93.0,51.51,175.6,89.0,14.93,135.2,102.0,6.08,10.4,5.0,2.81,1.0, False.,
NH,94.0,415.0, no, no,0.0,114.4,115.0,19.45,183.9,79.0,15.63,205.2,78.0,9.23,5.9,2.0,1.59,3.0, False.,
NY,81.0,408.0, no, yes,36.0,164.8,106.0,28.02,210.2,138.0,17.87,173.6,78.0,7.81,4.3,2.0,1.16,2.0, False.,
OH,160.0,415.0, no, no,0.0,237.1,126.0,40.31,238.4,127.0,20.26,181.3,100.0,8.16,10.7,8.0,2.89,2.0, False.,
NE,100.0,415.0, no, no,0.0,220.3,106.0,37.45,126.1,124.0,10.72,242.0,67.0,10.89,10.2,1.0,2.75,3.0, False.,
WV,78.0,510.0, no, yes,26.0,189.0,98.0,32.13,191.7,67.0,16.29,217.0,68.0,9.76,11.3,3.0,3.05,0.0, False.,
NV,139.0,510.0, yes, no,0.0,172.6,92.0,29.34,281.7,123.0,23.94,253.4,117.0,11.4,10.5,3.0,2.84,3.0, False.,
CT,88.0,415.0, no, no,0.0,168.8,141.0,28.7,211.5,129.0,17.98,86.9,92.0,3.91,10.5,7.0,2.84,3.0, False.,
KS,152.0,408.0, no, yes,39.0,243.1,137.0,41.33,236.7,103.0,20.12,191.2,118.0,8.6,9.9,3.0,2.67,1.0, False.,
VA,144.0,415.0, no, no,0.0,97.9,119.0,16.64,171.3,88.0,14.56,169.9,83.0,7.65,7.4,4.0,2.0,0.0, False.,
ID,45.0,510.0, yes, yes,40.0,179.0,114.0,30.43,272.6,99.0,23.17,67.1,80.0,3.02,10.8,3.0,2.92,3.0, False.,
NH,127.0,415.0, yes, no,0.0,324.3,107.0,55.13,141.6,90.0,12.04,207.6,90.0,9.34,12.8,7.0,3.46,1.0, False.,
ND,102.0,510.0, no, no,0.0,69.7,85.0,11.85,226.5,107.0,19.25,128.5,104.0,5.78,11.1,2.0,3.0,2.0, False.,
AR,49.0,408.0, yes, yes,32.0,176.9,118.0,30.07,227.0,121.0,19.3,204.4,115.0,9.2,15.1,3.0,4.08,3.0, False.,
MA,36.0,415.0, no, no,0.0,140.4,117.0,23.87,204.5,121.0,17.38,251.3,79.0,11.31,8.7,4.0,2.35,2.0, False.,
WI,13.0,510.0, no, no,0.0,167.4,117.0,28.46,223.5,102.0,19.0,215.8,108.0,9.71,9.0,3.0,2.43,1.0, False.,
AL,151.0,408.0, no, yes,27.0,166.4,112.0,28.29,234.3,116.0,19.92,161.1,95.0,7.25,5.5,2.0,1.49,0.0, False.,
WV,111.0,408.0, no, no,0.0,171.5,108.0,29.16,204.4,106.0,17.37,238.8,90.0,10.75,10.7,4.0,2.89,3.0, False.,
CO,135.0,415.0, yes, no,0.0,177.2,151.0,30.12,209.3,83.0,17.79,236.3,114.0,10.63,11.1,5.0,3.0,2.0, False.,
VA,114.0,415.0, no, yes,34.0,114.5,64.0,19.47,229.3,84.0,19.49,288.8,68.0,13.0,10.4,16.0,2.81,0.0, False.,
NH,122.0,415.0, no, yes,34.0,205.1,123.0,34.87,203.3,123.0,17.28,126.7,106.0,5.7,10.7,1.0,2.89,2.0, False.,
TN,89.0,415.0, no, no,0.0,208.4,112.0,35.43,189.5,116.0,16.11,264.4,101.0,11.9,16.8,1.0,4.54,0.0, False.,
UT,96.0,415.0, no, no,0.0,125.8,102.0,21.39,244.4,111.0,20.77,167.7,90.0,7.55,9.0,2.0,2.43,2.0, False.,
MA,106.0,408.0, no, no,0.0,186.2,97.0,31.65,257.7,89.0,21.9,164.3,106.0,7.39,11.0,4.0,2.97,2.0, False.,
KY,122.0,415.0, no, no,0.0,128.9,136.0,21.91,244.4,133.0,20.77,148.7,133.0,6.69,10.7,5.0,2.89,0.0, False.,
WY,87.0,415.0, no, yes,16.0,257.4,91.0,43.76,232.0,101.0,19.72,143.2,73.0,6.44,14.7,2.0,3.97,1.0, False.,
DE,145.0,415.0, no, no,0.0,189.3,113.0,32.18,203.7,92.0,17.31,218.3,103.0,9.82,14.2,3.0,3.83,5.0, False.,
MI,136.0,415.0, no, yes,24.0,50.1,134.0,8.52,295.8,89.0,25.14,111.8,115.0,5.03,11.0,6.0,2.97,0.0, False.,
WY,111.0,408.0, no, no,0.0,165.5,72.0,28.14,228.9,73.0,19.46,169.7,103.0,7.64,9.7,6.0,2.62,2.0, False.,
MN,167.0,415.0, yes, no,0.0,143.7,108.0,24.43,75.6,111.0,6.43,217.9,99.0,9.81,9.9,4.0,2.67,0.0, False.,
WY,88.0,408.0, no, no,0.0,166.4,97.0,28.29,186.7,118.0,15.87,251.6,89.0,11.32,14.5,4.0,3.92,0.0, False.,
NY,131.0,415.0, no, no,0.0,264.2,118.0,44.91,180.0,89.0,15.3,223.9,104.0,10.08,10.7,1.0,2.89,2.0, False.,
NH,90.0,408.0, no, no,0.0,192.1,80.0,32.66,269.3,125.0,22.89,259.6,97.0,11.68,11.7,4.0,3.16,2.0, False.,
DE,95.0,415.0, no, no,0.0,145.4,98.0,24.72,334.1,109.0,28.4,209.8,72.0,9.44,8.8,2.0,2.38,1.0, False.,
NJ,42.0,408.0, no, yes,16.0,240.8,80.0,40.94,212.6,121.0,18.07,271.7,138.0,12.23,9.4,4.0,2.54,1.0, False.,
IA,69.0,510.0, no, no,0.0,170.7,98.0,29.02,111.6,109.0,9.49,171.5,107.0,7.72,4.8,7.0,1.3,3.0, False.,
OR,99.0,408.0, no, no,0.0,221.0,118.0,37.57,138.8,104.0,11.8,198.6,96.0,8.94,12.1,4.0,3.27,0.0, False.,
PA,72.0,415.0, no, no,0.0,180.0,109.0,30.6,292.7,96.0,24.88,194.9,114.0,8.77,10.8,4.0,2.92,0.0, False.,
MI,88.0,415.0, no, yes,14.0,298.8,92.0,50.8,207.3,86.0,17.62,257.9,65.0,11.61,11.9,4.0,3.21,5.0, False.,
FL,113.0,415.0, no, no,0.0,317.1,97.0,53.91,224.8,70.0,19.11,215.1,90.0,9.68,13.6,2.0,3.67,1.0, True.,
PA,142.0,408.0, yes, yes,23.0,102.2,103.0,17.37,229.7,110.0,19.52,176.3,100.0,7.93,9.0,4.0,2.43,1.0, False.,
WV,3.0,408.0, no, no,0.0,182.9,87.0,31.09,172.1,103.0,14.63,233.1,89.0,10.49,12.1,3.0,3.27,4.0, False.,
NE,23.0,415.0, no, no,0.0,155.6,122.0,26.45,223.8,82.0,19.02,50.9,130.0,2.29,10.6,3.0,2.86,4.0, False.,
WI,75.0,415.0, no, no,0.0,184.8,126.0,31.42,198.6,103.0,16.88,103.0,90.0,4.64,8.3,3.0,2.24,1.0, False.,
FL,151.0,415.0, no, no,0.0,175.7,91.0,29.87,152.3,127.0,12.95,140.0,88.0,6.3,10.7,10.0,2.89,1.0, False.,
TX,91.0,415.0, no, no,0.0,251.5,57.0,42.76,179.1,113.0,15.22,163.2,72.0,7.34,6.6,3.0,1.78,1.0, False.,
MS,78.0,510.0, no, no,0.0,131.6,102.0,22.37,290.4,134.0,24.68,190.5,95.0,8.57,0.0,0.0,0.0,3.0, False.,
FL,98.0,408.0, no, no,0.0,92.3,128.0,15.69,250.1,89.0,21.26,211.9,110.0,9.54,10.8,16.0,2.92,3.0, False.,
WV,166.0,408.0, no, yes,41.0,196.7,109.0,33.44,124.3,107.0,10.57,198.3,94.0,8.92,11.0,5.0,2.97,5.0, False.,
SC,78.0,415.0, no, no,0.0,131.4,98.0,22.34,189.9,95.0,16.14,147.4,83.0,6.63,11.2,2.0,3.02,2.0, False.,
GA,69.0,408.0, no, no,0.0,215.9,122.0,36.7,270.3,114.0,22.98,301.8,129.0,13.58,6.1,5.0,1.65,4.0, False.,
GA,122.0,408.0, no, no,0.0,158.2,95.0,26.89,178.5,113.0,15.17,154.3,76.0,6.94,8.5,5.0,2.3,2.0, False.,
MT,138.0,415.0, no, no,0.0,216.0,106.0,36.72,207.6,110.0,17.65,180.0,102.0,8.1,11.2,4.0,3.02,0.0, False.,
HI,19.0,510.0, no, yes,34.0,206.4,111.0,35.09,229.7,118.0,19.52,156.7,81.0,7.05,11.8,10.0,3.19,3.0, False.,
HI,141.0,510.0, no, no,0.0,138.2,94.0,23.49,176.4,84.0,14.99,182.9,110.0,8.23,11.1,6.0,3.0,3.0, False.,
MA,79.0,408.0, no, yes,27.0,192.3,125.0,32.69,147.3,108.0,12.52,215.0,97.0,9.67,7.8,4.0,2.11,1.0, False.,
NH,171.0,415.0, no, no,0.0,262.1,78.0,44.56,171.6,113.0,14.59,208.7,100.0,9.39,5.3,3.0,1.43,0.0, False.,
AL,51.0,415.0, no, no,0.0,41.2,106.0,7.0,210.6,82.0,17.9,220.1,115.0,9.9,12.4,3.0,3.35,0.0, False.,
AZ,114.0,510.0, no, no,0.0,326.1,119.0,55.44,161.0,105.0,13.69,220.1,129.0,9.9,11.0,3.0,2.97,1.0, False.,
NC,98.0,510.0, no, no,0.0,167.0,60.0,28.39,125.1,65.0,10.63,262.5,100.0,11.81,8.9,2.0,2.4,1.0, False.,
MT,94.0,510.0, no, no,0.0,210.2,95.0,35.73,191.2,87.0,16.25,150.8,111.0,6.79,9.4,3.0,2.54,2.0, False.,
NV,100.0,415.0, no, yes,39.0,204.9,74.0,34.83,210.2,80.0,17.87,168.8,89.0,7.6,11.2,4.0,3.02,2.0, False.,
SC,125.0,510.0, no, no,0.0,184.1,105.0,31.3,126.7,123.0,10.77,241.5,94.0,10.87,4.7,6.0,1.27,1.0, False.,
VA,81.0,510.0, no, no,0.0,263.8,84.0,44.85,162.8,107.0,13.84,149.7,94.0,6.74,8.7,6.0,2.35,2.0, False.,
AR,154.0,408.0, no, no,0.0,283.6,115.0,48.21,181.3,103.0,15.41,306.1,60.0,13.77,8.8,5.0,2.38,0.0, False.,
DC,91.0,408.0, no, no,0.0,167.5,77.0,28.48,175.2,113.0,14.89,233.5,85.0,10.51,16.1,5.0,4.35,2.0, False.,
RI,94.0,415.0, no, no,0.0,142.3,50.0,24.19,231.5,142.0,19.68,205.6,79.0,9.25,5.5,3.0,1.49,1.0, False.,
WV,57.0,415.0, no, no,0.0,167.1,103.0,28.41,188.4,112.0,16.01,111.4,74.0,5.01,9.1,2.0,2.46,1.0, False.,
ME,140.0,510.0, no, no,0.0,148.3,86.0,25.21,184.2,151.0,15.66,179.1,83.0,8.06,10.9,4.0,2.94,0.0, False.,
AL,64.0,510.0, no, no,0.0,297.8,88.0,50.63,196.0,89.0,16.66,213.7,107.0,9.62,12.0,2.0,3.24,1.0, False.,
NC,52.0,408.0, yes, no,0.0,144.5,60.0,24.57,296.5,129.0,25.2,194.3,117.0,8.74,12.4,3.0,3.35,1.0, False.,
MT,117.0,415.0, no, no,0.0,233.4,71.0,39.68,296.4,76.0,25.19,276.9,103.0,12.46,10.3,1.0,2.78,0.0, False.,
TN,119.0,415.0, no, no,0.0,130.5,98.0,22.19,249.5,91.0,21.21,219.9,117.0,9.9,12.7,1.0,3.43,3.0, False.,
LA,85.0,510.0, no, no,0.0,133.3,107.0,22.66,185.0,101.0,15.73,289.0,99.0,13.01,9.1,4.0,2.46,3.0, False.,
SC,92.0,510.0, no, no,0.0,183.7,103.0,31.23,270.6,97.0,23.0,132.9,104.0,5.98,11.2,2.0,3.02,0.0, False.,
IN,116.0,415.0, no, no,0.0,271.0,114.0,46.07,209.9,71.0,17.84,193.5,109.0,8.71,13.7,2.0,3.7,5.0, False.,
IA,163.0,510.0, no, no,0.0,122.5,70.0,20.83,221.4,92.0,18.82,187.5,88.0,8.44,10.4,6.0,2.81,0.0, False.,
NJ,88.0,510.0, no, no,0.0,143.3,97.0,24.36,170.7,81.0,14.51,195.3,89.0,8.79,11.4,5.0,3.08,2.0, False.,
AK,83.0,415.0, no, no,0.0,182.5,85.0,31.03,181.5,114.0,15.43,199.1,110.0,8.96,14.7,6.0,3.97,1.0, False.,
GA,117.0,510.0, no, no,0.0,110.4,122.0,18.77,242.9,103.0,20.65,170.4,75.0,7.67,13.9,5.0,3.75,1.0, False.,
